term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Muscle cramp,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by marked cramping sensation originating from a muscle or group of muscles.,Synonym: Muscle spasm,191
Muscle weakness lower limb,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Symptomatic; perceived by patient but not evident on physical exam,Symptomatic; evident on physical exam; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a reduction in the strength of the lower limb muscles.,"Consider Musculoskeletal and connective tissue disorders: Myositis; Immune system disorders: Immune system disorders - Other, specify; Injury, poisoning and procedural complications: Fall.",191
Muscle weakness trunk,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Symptomatic; perceived by patient but not evident on physical exam,Symptomatic; evident on physical exam; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a reduction in the strength of the trunk muscles.,"Consider Musculoskeletal and connective tissue disorders: Myositis; Immune system disorders: Immune system disorders - Other, specify; Injury, poisoning and procedural complications: Fall.",192
Muscle weakness upper limb,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Symptomatic; perceived by patient but not evident on physical exam,Symptomatic; evident on physical exam; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a reduction in the strength of the upper limb muscles.,"Consider Musculoskeletal and connective tissue disorders: Myositis; Immune system disorders: Immune system disorders - Other, specify; Injury, poisoning and procedural complications: Fall.",192
"Musculoskeletal and connective tissue disorder - Other, specify",Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,193
Musculoskeletal deformity,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Cosmetically and functionally insignificant hypoplasia,"Deformity, hypoplasia, or asymmetry able to be remediated by prosthesis (e.g., shoe insert) or covered by clothing","Significant deformity, hypoplasia, or asymmetry, unable to be remediated by prosthesis or covered by clothing; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",-,-,A disorder characterized by an abnormality of the musculoskeletal system.,-,193
Myalgia,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by marked discomfort sensation originating from a muscle or group of muscles.,Record final diagnosis/cause once determined.,194
Myositis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain associated with weakness; pain limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Pain associated with severe weakness; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,-,A disorder characterized by inflammation involving the skeletal muscles.,Record final diagnosis/cause once determined.,194
Neck pain,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the neck area.,Record final diagnosis/cause once determined.,194
Neck soft tissue necrosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,-,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the neck.,-,195
Osteonecrosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; medical intervention indicated (e.g., analgesics or bisphosphonates); limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe symptoms; elective operative intervention indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by necrotic changes in the bone tissue due to interruption of blood supply. Most often affecting the epiphysis of the long bones, the necrotic changes result in the collapse and the destruction of the bone structure.",-,195
Osteonecrosis of jaw,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; medical intervention indicated (e.g., topical agents); limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe symptoms; elective operative intervention indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the bone of the mandible.,-,196
Osteoporosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Adult: Radiologic evidence of osteoporosis or Bone Mineral Density (BMD) t-score -1 to - 2.5 (osteopenia); Pediatric: BMD z score of ≤- 2.0 and no history of significant fractures,"Adult: BMD t-score <-2.5; loss of height <2 cm; therapy to improve BMD indicated; limiting instrumental ADL; Pediatric: BMD z-score ≤- 2.0 and significant fracture history (defined as a long bone fracture of the lower extremity, vertebral compression, 2 or more long bone fractures of the upper extremities); mild/moderate impact on age-appropriate normal daily activity",Adult: Loss of height ≥2 cm; hospitalization indicated; limiting self-care ADL; Pediatric: Severe impact on age-appropriate normal daily activity,-,-,"A disorder characterized by reduced bone mass, with a decrease in cortical thickness and in the number and size of the trabeculae of cancellous bone (but normal chemical composition), resulting in increased fracture incidence.",-,196
Pain in extremity,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the upper or lower extremities.,Record final diagnosis/cause once determined.,197
Pelvic soft tissue necrosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,-,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the pelvis.,-,197
Rhabdomyolysis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated; laboratory findings only",Non-urgent intervention indicated,"Symptomatic, urgent intervention indicated",Life-threatening consequences; dialysis,Death,A disorder characterized by the breakdown of muscle tissue resulting in the release of muscle fiber contents into the bloodstream.,Record final diagnosis/cause once determined.,197
Rotator cuff injury,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental AD or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by an injury of the rotator cuff.,-,198
Scoliosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,<20 degrees; clinically undetectable,>20 - 45 degrees; visible by forward flexion; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),>45 degrees; scapular prominence in forward flexion; operative intervention indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a lateral curvature of the spine.,-,198
Soft tissue necrosis lower limb,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,-,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the lower extremity.,-,199
Soft tissue necrosis upper limb,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,-,"Local wound care; medical intervention indicated (e.g., dressings or topical medications)","Operative debridement or other invasive intervention indicated (e.g., tissue reconstruction, flap, or grafting)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a necrotic process occurring in the soft tissues of the upper extremity.,-,199
Superficial soft tissue fibrosis,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,"Mild induration, able to move skin parallel to plane (sliding) and perpendicular to skin (pinching up)","Moderate induration, able to slide skin, unable to pinch skin; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)","Severe induration; unable to slide or pinch skin; limiting joint or orifice movement (e.g., mouth, anus); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Generalized; associated with signs or symptoms of impaired breathing or feeding,Death,A disorder characterized by fibrotic degeneration of the superficial soft tissues.,-,199
Trismus,Musculoskeletal and connective tissue disorders,CTCAE v6.0,,Decreased ROM (range of motion) without impaired eating,"Decreased ROM requiring small bites, soft foods or purees",Decreased ROM with inability to adequately aliment or hydrate orally,-,-,A disorder characterized by lack of ability to open the mouth fully due to a decrease in the range of motion of the muscles of mastication.,-,200
